﻿Kód;Název Katastrálního území;Kód Obce;Název Obce;Kód Okresu;Název Okresu
601527;Běchovice;554782;Praha;3100;Hlavní město Praha
602582;Benice;554782;Praha;3100;Hlavní město Praha
614131;Březiněves;554782;Praha;3100;Hlavní město Praha
629952;Dolní Počernice;554782;Praha;3100;Hlavní město Praha
633330;Dubeč;554782;Praha;3100;Hlavní město Praha
643777;Horní Počernice;554782;Praha;3100;Hlavní město Praha
652393;Cholupice;554782;Praha;3100;Hlavní město Praha
652407;Točná;554782;Praha;3100;Hlavní město Praha
665444;Klánovice;554782;Praha;3100;Hlavní město Praha
668508;Koloděje;554782;Praha;3100;Hlavní město Praha
668591;Kolovraty;554782;Praha;3100;Hlavní město Praha
668605;Lipany;554782;Praha;3100;Hlavní město Praha
672629;Královice;554782;Praha;3100;Hlavní město Praha
676071;Křeslice;554782;Praha;3100;Hlavní město Praha
683973;Lipence;554782;Praha;3100;Hlavní město Praha
686425;Lochkov;554782;Praha;3100;Hlavní město Praha
702323;Nedvězí u Říčan;554782;Praha;3100;Hlavní město Praha
720984;Písnice;554782;Praha;3100;Hlavní město Praha
727008;Josefov;554782;Praha;3100;Hlavní město Praha
727024;Staré Město;554782;Praha;3100;Hlavní město Praha
727091;Malá Strana;554782;Praha;3100;Hlavní město Praha
727121;Hradčany;554782;Praha;3100;Hlavní město Praha
727164;Vinohrady;554782;Praha;3100;Hlavní město Praha
727181;Nové Město;554782;Praha;3100;Hlavní město Praha
727300;Vyšehrad;554782;Praha;3100;Hlavní město Praha
727415;Žižkov;554782;Praha;3100;Hlavní město Praha
727598;Krč;554782;Praha;3100;Hlavní město Praha
727750;Michle;554782;Praha;3100;Hlavní město Praha
727857;Hodkovičky;554782;Praha;3100;Hlavní město Praha
727873;Braník;554782;Praha;3100;Hlavní město Praha
728071;Lhotka;554782;Praha;3100;Hlavní město Praha
728152;Podolí;554782;Praha;3100;Hlavní město Praha
728161;Nusle;554782;Praha;3100;Hlavní město Praha
728225;Chodov;554782;Praha;3100;Hlavní město Praha
728233;Háje;554782;Praha;3100;Hlavní město Praha
728314;Kunratice;554782;Praha;3100;Hlavní město Praha
728390;Libuš;554782;Praha;3100;Hlavní město Praha
728438;Kamýk;554782;Praha;3100;Hlavní město Praha
728519;Komořany;554782;Praha;3100;Hlavní město Praha
728616;Modřany;554782;Praha;3100;Hlavní město Praha
728641;Radlice;554782;Praha;3100;Hlavní město Praha
728730;Jinonice;554782;Praha;3100;Hlavní město Praha
728764;Košíře;554782;Praha;3100;Hlavní město Praha
728837;Hlubočepy;554782;Praha;3100;Hlavní město Praha
728951;Motol;554782;Praha;3100;Hlavní město Praha
729051;Smíchov;554782;Praha;3100;Hlavní město Praha
729183;Malá Chuchle;554782;Praha;3100;Hlavní město Praha
729213;Velká Chuchle;554782;Praha;3100;Hlavní město Praha
729248;Lahovice;554782;Praha;3100;Hlavní město Praha
729272;Dejvice;554782;Praha;3100;Hlavní město Praha
729302;Střešovice;554782;Praha;3100;Hlavní město Praha
729353;Veleslavín;554782;Praha;3100;Hlavní město Praha
729418;Vokovice;554782;Praha;3100;Hlavní město Praha
729582;Břevnov;554782;Praha;3100;Hlavní město Praha
729701;Řepy;554782;Praha;3100;Hlavní město Praha
729710;Ruzyně;554782;Praha;3100;Hlavní město Praha
729795;Liboc;554782;Praha;3100;Hlavní město Praha
729876;Nebušice;554782;Praha;3100;Hlavní město Praha
729931;Lysolaje;554782;Praha;3100;Hlavní město Praha
729981;Suchdol;554782;Praha;3100;Hlavní město Praha
730041;Sedlec;554782;Praha;3100;Hlavní město Praha
730106;Bubeneč;554782;Praha;3100;Hlavní město Praha
730122;Holešovice;554782;Praha;3100;Hlavní město Praha
730190;Troja;554782;Praha;3100;Hlavní město Praha
730394;Čimice;554782;Praha;3100;Hlavní město Praha
730475;Kobylisy;554782;Praha;3100;Hlavní město Praha
730556;Bohnice;554782;Praha;3100;Hlavní město Praha
730599;Dolní Chabry;554782;Praha;3100;Hlavní město Praha
730629;Ďáblice;554782;Praha;3100;Hlavní město Praha
730866;Střížkov;554782;Praha;3100;Hlavní město Praha
730891;Libeň;554782;Praha;3100;Hlavní město Praha
730955;Karlín;554782;Praha;3100;Hlavní město Praha
731226;Kyje;554782;Praha;3100;Hlavní město Praha
731234;Hloubětín;554782;Praha;3100;Hlavní město Praha
731285;Vysočany;554782;Praha;3100;Hlavní město Praha
731382;Prosek;554782;Praha;3100;Hlavní město Praha
731439;Letňany;554782;Praha;3100;Hlavní město Praha
