Name_cad,Radius,Latitude,Longitude
Stodůlky,1750,50.0483074,14.3124035
Žižkov,1316,50.0810541,14.4549172
Chodov,1538,50.0328428,14.5016433
Vinohrady,1099,50.0753593,14.4363944
Vršovice,966,50.0718847,14.4726647
Holešovice,1222,50.1006155,14.437384
Strašnice,1403,50.0698126,14.4979743
Záběhlice,1345,50.0572818,14.5013488
Smíchov,1498,50.0749464,14.4048437
Libeň,1533,50.1061031,14.4766262
Modřany,1565,50.0098058,14.4069894
Nusle,953,50.0565301,14.442035
Krč,1288,50.041123,14.4476212
Kobylisy,1014,50.1295458,14.4548578
Nové Město,1031,50.0759376,14.4199464
Řepy,1019,50.0710617,14.3002613
Černý Most,816,50.1054492,14.5656936
Břevnov,1292,50.085209,14.3717877
Háje,867,50.0350744,14.5244148
Dejvice,1534,50.1025555,14.391797
Hlubočepy,1390,50.0416665,14.3956321
Bubeneč,1189,50.1029815,14.4028315
Michle,1325,50.0485538,14.4598009
Kamýk,899,50.0152642,14.4381341
Letňany,1337,50.136969,14.5148858
Braník,1184,50.0357275,14.4127165
Hostivař,1596,50.0482863,14.5243139
Prosek,734,50.1182056,14.4935861
Bohnice,1218,50.1336204,14.415971
Vysočany,1390,50.1096718,14.4998979
Horní Počernice,2324,50.1162631,14.6208058
Košíře,1014,50.0670831,14.362062
Troja,1315,50.1174536,14.4234416
Střížkov,804,50.1243718,14.484508
Horní Měcholupy,846,50.0439798,14.5575532
Podolí,871,50.0573177,14.4207856
Hloubětín,1317,50.105053,14.5403829
Vokovice,1059,50.0987345,14.3446401
Újezd nad Lesy,1797,50.0757517,14.6593589
Karlín,829,50.0920871,14.4476672
Malešice,1103,50.0823383,14.4986466
Zbraslav,1578,49.9759867,14.3934479
Kunratice,1606,50.0133421,14.4835699
Staré Město,641,50.0842845,14.4178391
Kyje,1345,50.0934711,14.5428312
Radotín,1722,49.9858606,14.3655733
Uhříněves,1809,50.0343893,14.5911741
Čakovice,1104,50.1530933,14.5287249
Ruzyně,2186,50.0915435,14.3028035
Kbely,1381,50.1332847,14.549187
Čimice,906,50.1406145,14.4300955
Střešovice,703,50.0915603,14.3805053
Suchdol,1172,50.135806,14.3804611
Veleslavín,646,50.0934913,14.3502202
Lhotka,576,50.0229255,14.4402767
Petrovice,755,50.0366935,14.5576336
Libuš,714,50.0063807,14.4634572
Jinonice,1402,50.055346,14.364546
Zličín,1006,50.0607092,14.2915434
Malá Strana,661,50.0874027,14.4069171
Liboc,1163,50.0870687,14.3292912
Písnice,1081,49.9935526,14.4673859
Vinoř,1382,50.1437325,14.5782464
Dolní Chabry,1261,50.145417,14.4490923
Řeporyje,1339,50.0323364,14.3114667
Dubeč,1645,50.0615529,14.590674
Ďáblice,1533,50.1452392,14.4821593
Motol,1008,50.0705146,14.3446321
Hodkovičky,814,50.0232199,14.4039242
Klánovice,1371,50.0960067,14.6697168
Nebušice,1083,50.1111127,14.3304624
Kolovraty,1372,50.012091,14.6261751
Šeberov,1262,50.0132338,14.5136372
Slivenec,1343,50.020125,14.3581131
Újezd u Průhonic,1086,50.0128878,14.5463418
Lipence,1617,49.9592549,14.3678215
Dolní Měcholupy,1231,50.0590584,14.5591003
Běchovice,1475,50.0812104,14.6160257
Hostavice,794,50.0902449,14.5634595
Satalice,1100,50.1255484,14.5717874
Dolní Počernice,1354,50.0858859,14.5757301
Velká Chuchle,1210,50.0113286,14.3849521
Štěrboholy,973,50.0721243,14.5530604
Vyšehrad,339,50.0644233,14.4173861
Komořany,814,49.9881831,14.4087955
Hradčany,693,50.0896727,14.3978032
Radlice,878,50.0583907,14.3886116
Miškovice,920,50.1562543,14.5425652
Hrdlořezy,790,50.092937,14.5090893
Koloděje,1093,50.0621519,14.6384615
Lysolaje,889,50.1247487,14.381393
Březiněves,1039,50.1649365,14.4838478
Pitkovice,874,50.020712,14.5793086
Josefov,169,50.0900187,14.4180229
Třeboradice,1084,50.1625233,14.5238902
Křeslice,1047,50.0232038,14.5647024
Sedlec,682,50.133282,14.393032
Točná,1214,49.9720961,14.431421
Přední Kopanina,1020,50.1173392,14.2963761
Lochkov,931,50.0025105,14.3536669
Cholupice,1425,49.9876531,14.4474068
Benice,939,50.0129602,14.6048741
Hájek u Uhříněvsi,867,50.05191445,14.6229911275698
Sobín,981,50.0656257,14.2665593
Holyně,784,50.0294227,14.356167
Třebonice,1208,50.0450967,14.2811162
Královice,1257,50.0383618,14.6361708
Lahovice,804,49.988587,14.3973358
Nedvězí u Říčan,1102,50.0164669,14.6538068912756
Lipany,430,49.9995457,14.6175389
Malá Chuchle,672,50.0261365,14.3936339
Zadní Kopanina,1056,50.0064521,14.3122061
