Name_cad,Cluster,geometry,The largest density is of:,The second largest selection is of:,A third is big number of:,A fourth is medium number of:,And fifth an average size of:
Stodůlky,G11,POINT (50.0483074 14.3124035),Specialized_stores,Groceries,Quick_meals/snacks,Transportation,Public_transp_stops
Žižkov,G4,POINT (50.0810541 14.4549172),Pubs_Bars,Quick_meals/snacks,Cafés,Groceries,Restaurants
Chodov,G16,POINT (50.0328428 14.5016433),Specialized_stores,Public_transp_stops,Quick_meals/snacks,Pubs_Bars,Transportation
Vinohrady,G4,POINT (50.0753593 14.4363944),Pubs_Bars,Quick_meals/snacks,Cafés,Groceries,Restaurants
Vršovice,G16,POINT (50.0718847 14.4726647),Specialized_stores,Public_transp_stops,Quick_meals/snacks,Pubs_Bars,Transportation
Holešovice,G4,POINT (50.1006155 14.437384),Pubs_Bars,Quick_meals/snacks,Cafés,Groceries,Restaurants
Strašnice,G12,POINT (50.0698126 14.4979743),Public_transp_stops,Groceries,Parks,Restaurants,Pubs_Bars
Záběhlice,G16,POINT (50.0572818 14.5013488),Specialized_stores,Public_transp_stops,Quick_meals/snacks,Pubs_Bars,Transportation
Smíchov,G1,POINT (50.07494639999999 14.4048437),Groceries,Pubs_Bars,Cafés,Public_transp_stops,Parks
Libeň,G7,POINT (50.1061031 14.4766262),Sport_activeLeisure,Quick_meals/snacks,Public_transp_stops,Restaurants,Pubs_Bars
Modřany,G16,POINT (50.0098058 14.4069894),Specialized_stores,Public_transp_stops,Quick_meals/snacks,Pubs_Bars,Transportation
Nusle,G5,POINT (50.0565301 14.442035),Quick_meals/snacks,Restaurants,Specialized_stores,Clothing_store,Groceries
Krč,G5,POINT (50.041123 14.4476212),Quick_meals/snacks,Restaurants,Specialized_stores,Clothing_store,Groceries
Kobylisy,G12,POINT (50.1295458 14.4548578),Public_transp_stops,Groceries,Parks,Restaurants,Pubs_Bars
Nové Město,G10,POINT (50.0759376 14.4199464),Recycling_waste_bins,Public_transp_stops,Restaurants,Pubs_Bars,Cafés
Řepy,G14,POINT (50.0710617 14.3002613),Transportation,Specialized_stores,Public_transp_stops,Parks,Restaurants
Černý Most,G14,POINT (50.1054492 14.5656936),Transportation,Specialized_stores,Public_transp_stops,Parks,Restaurants
Břevnov,G12,POINT (50.08520900000001 14.3717877),Public_transp_stops,Groceries,Parks,Restaurants,Pubs_Bars
Háje,G14,POINT (50.0350744 14.5244148),Transportation,Specialized_stores,Public_transp_stops,Parks,Restaurants
Dejvice,G1,POINT (50.1025555 14.391797),Groceries,Pubs_Bars,Cafés,Public_transp_stops,Parks
Hlubočepy,G14,POINT (50.0416665 14.3956321),Transportation,Specialized_stores,Public_transp_stops,Parks,Restaurants
Bubeneč,G4,POINT (50.1029815 14.4028315),Pubs_Bars,Quick_meals/snacks,Cafés,Groceries,Restaurants
Michle,G5,POINT (50.04855379999999 14.4598009),Quick_meals/snacks,Restaurants,Specialized_stores,Clothing_store,Groceries
Kamýk,G9,POINT (50.0152642 14.4381341),Transportation,Specialized_stores,Public_transp_stops,Leisure_fun_act.,Sport_activeLeisure
Letňany,G16,POINT (50.136969 14.5148858),Specialized_stores,Public_transp_stops,Quick_meals/snacks,Pubs_Bars,Transportation
